sRNA	precursor
TAS2-3'D4[+]	AT2G39681
TAS2-3'D10[+]	AT2G39681
TAS2-3'D5[+]	AT2G39681
TAS2-3'D4[-]	AT2G39681
TAS2-3'D2[-]	AT2G39681
TAS2-3'D8[-]	AT2G39681
TAS2-3'D10[-]	AT2G39681
TAS2-3'D9[+]	AT2G39681
TAS2-3'D3[-]	AT2G39681
TAS2-3'D5[-]	AT2G39681
TAS2-3'D2[+]	AT2G39681
TAS2-3'D6[+]	AT2G39681
TAS2-3'D1[-]	AT2G39681
TAS2-3'D8[+]	AT2G39681
TAS2-3'D7[-]	AT2G39681
TAS2-3'D9[-]	AT2G39681
TAS2-3'D6[-]	AT2G39681
TAS2-3'D1[+]	AT2G39681
TAS2-3'D3[+]	AT2G39681
TAS3B-5'D3[-]	AT5G49615
TAS3B-5'D4[-]	AT5G49615
TAS3B-5'D7[+]	AT5G49615
TAS3B-5'D8[+]	AT5G49615
TAS3B-5'D4[+]	AT5G49615
TAS3B-5'D5[-]	AT5G49615
TAS3B-5'D7[-]	AT5G49615
TAS3B-5'D3[+]	AT5G49615
TAS3B-5'D1[-]	AT5G49615
TAS3B-5'D1[+]	AT5G49615
TAS3B-5'D6[+]	AT5G49615
TAS3B-5'D9[-]	AT5G49615
TAS3B-5'D8[-]	AT5G49615
TAS3B-5'D10[-]	AT5G49615
TAS3B-5'D5[+]	AT5G49615
TAS3B-5'D2[-]	AT5G49615
TAS3B-5'D6[-]	AT5G49615
TAS3B-5'D2[+]	AT5G49615
TAS3B-5'D9[+]	AT5G49615
TAS3B-5'D10[+]	AT5G49615
TAS1C-3'D7[-]	AT2G39675
TAS1C-3'D4[+]	AT2G39675
TAS1C-3'D8[-]	AT2G39675
TAS1C-3'D7[+]	AT2G39675
TAS1C-3'D6[-]	AT2G39675
TAS1C-3'D9[-]	AT2G39675
TAS1C-3'D2[-]	AT2G39675
TAS1C-3'D10[-]	AT2G39675
TAS1C-3'D8[+]	AT2G39675
TAS1C-3'D3[+]	AT2G39675
TAS1C-3'D9[+]	AT2G39675
TAS1C-3'D10[+]	AT2G39675
TAS1C-3'D5[-]	AT2G39675
TAS1C-3'D1[+]	AT2G39675
TAS1C-3'D1[-]	AT2G39675
TAS1C-3'D5[+]	AT2G39675
TAS1C-3'D6[+]	AT2G39675
TAS1C-3'D4[-]	AT2G39675
TAS1C-3'D3[-]	AT2G39675
TAS1C-3'D2[+]	AT2G39675
TAS3A-5'D6[+]	AT3G17185
TAS3A-5'D5[+]	AT3G17185
TAS3A-5'D8[+]	AT3G17185
TAS3A-5'D3[+]	AT3G17185
TAS3A-5'D3[-]	AT3G17185
TAS3A-5'D4[+]	AT3G17185
TAS3A-5'D2[-]	AT3G17185
TAS3A-5'D9[+]	AT3G17185
TAS3A-5'D8[-]	AT3G17185
TAS3A-5'D4[-]	AT3G17185
TAS3A-5'D5[-]	AT3G17185
TAS3A-5'D2[+]	AT3G17185
TAS3A-5'D9[-]	AT3G17185
TAS3A-5'D10[+]	AT3G17185
TAS3A-5'D1[-]	AT3G17185
TAS3A-5'D7[+]	AT3G17185
TAS3A-5'D7[-]	AT3G17185
TAS3A-5'D1[+]	AT3G17185
TAS3A-5'D6[-]	AT3G17185
TAS3A-5'D10[-]	AT3G17185
TAS1A-3'D9[+]	AT2G27400
TAS1A-3'D8[-]	AT2G27400
TAS1A-3'D10[-]	AT2G27400
TAS1A-3'D7[+]	AT2G27400
TAS1A-3'D2[-]	AT2G27400
TAS1A-3'D3[-]	AT2G27400
TAS1A-3'D2[+]	AT2G27400
TAS1A-3'D4[+]	AT2G27400
TAS1A-3'D1[+]	AT2G27400
TAS1A-3'D9[-]	AT2G27400
TAS1A-3'D6[-]	AT2G27400
TAS1A-3'D5[-]	AT2G27400
TAS1A-3'D8[+]	AT2G27400
TAS1A-3'D1[-]	AT2G27400
TAS1A-3'D3[+]	AT2G27400
TAS1A-3'D10[+]	AT2G27400
TAS1A-3'D4[-]	AT2G27400
TAS1A-3'D7[-]	AT2G27400
TAS1A-3'D5[+]	AT2G27400
TAS1A-3'D6[+]	AT2G27400
TAS1B-3'D7[-]	AT1G50055
TAS1B-3'D4[-]	AT1G50055
TAS1B-3'D6[+]	AT1G50055
TAS1B-3'D9[-]	AT1G50055
TAS1B-3'D2[+]	AT1G50055
TAS1B-3'D7[+]	AT1G50055
TAS1B-3'D10[-]	AT1G50055
TAS1B-3'D4[+]	AT1G50055
TAS1B-3'D5[-]	AT1G50055
TAS1B-3'D2[-]	AT1G50055
TAS1B-3'D6[-]	AT1G50055
TAS1B-3'D9[+]	AT1G50055
TAS1B-3'D1[+]	AT1G50055
TAS1B-3'D10[+]	AT1G50055
TAS1B-3'D8[-]	AT1G50055
TAS1B-3'D3[-]	AT1G50055
TAS1B-3'D1[-]	AT1G50055
TAS1B-3'D5[+]	AT1G50055
TAS1B-3'D8[+]	AT1G50055
TAS1B-3'D3[+]	AT1G50055
