sRNA	Transcript	Slice.site	AllenScore	flankMax.rpm	slice.site.rpm	slice.site.hit.norm
TAS3A-5'D7[+]	AT5G60450.1	2094	1.5	0.334378999999999981796	0.280571	0.73
TAS3A-5'D7[-]	AT4G26670.1	852	5	0.933953999999999950887	0.776374	2.02
TAS3A-5'D8[+]	AT1G04770.1	931	5.5	0.568828000000000000291	0.326692	0.85
TAS3A-5'D8[+]	AT2G33860.1	1684	1.5	0.238293000000000004812	0.910894	2.37
TAS3A-5'D8[+]	AT3G04920.1	255	5	2.48669999999999991047	0.599576	1.56
TAS3A-5'D8[+]	AT3G23400.1	729	5.5	2.78649000000000013344	0.511177	1.33
TAS3A-5'D8[+]	AT4G35050.1	1187	5.5	0.726408999999999971386	0.119146	0.31
TAS3A-5'D8[+]	AT5G26742.3	1804	6	19.3785999999999987153	0.342066	0.89
TAS3A-5'D8[+]	AT5G60450.1	1884	1	0.326691999999999982407	0.557298	1.45
TAS3A-5'D8[+]	AT5G60450.1	2094	1.5	0.334378999999999981796	0.280571	0.73
TAS3A-5'D9[+]	AT4G29210.2	1707	6	0.745626000000000010992	0.418934	1.09
TAS3B-5'D10[+]	AT1G04810.1	2247	6	0.403561000000000003052	0.222919	0.58
TAS3B-5'D10[+]	AT4G25370.1	775	5	2.6750300000000000189	0.388187	1.01
TAS3B-5'D1[+]	AT1G11860.3	1447	6	3.22847999999999979437	1.45666	3.79
TAS3B-5'D1[+]	AT4G31300.3	411	5	1.21453000000000010949	0.261354	0.68
TAS3B-5'D3[+]	AT1G27750.1	3223	5	0.588045000000000039897	0.288258	0.75
TAS3B-5'D3[+]	AT4G39820.1	1312	6	0.453525000000000011458	0.24598	0.64
TAS3B-5'D4[+]	AT3G13080.4	4460	5.5	0.48811599999999999433	0.192172	0.5
TAS3B-5'D5[+]	AT3G52300.2	377	6	4.67361999999999966349	0.295944	0.77
TAS3B-5'D5[+]	AT5G16010.1	542	6	0.857086000000000014509	0.319005	0.83
TAS3B-5'D5[+]	AT5G53160.2	321	4.5	1.03773000000000004128	0.226763	0.59
TAS3B-5'D5[+]	AT5G63020.1	268	5.5	0	0.549611	1.43
TAS3B-5'D6[+]	AT1G23190.1	1786	6	1.55658999999999991815	1.77951	4.63
TAS3B-5'D6[+]	AT1G26710.1	589	5.5	0.480428999999999994941	0.522707	1.36
TAS3B-5'D6[+]	AT1G65960.2	1452	6	4.50450000000000017053	1.38364	3.6
TAS3B-5'D6[+]	AT2G43235.1	1188	5.5	0.491960000000000008402	0.172955	0.45
TAS3B-5'D6[+]	AT2G46000.1	717	5	0.999292999999999986827	0.511177	1.33
TAS3B-5'D6[+]	AT4G29830.1	430	6	0.476586000000000009624	0.142207	0.37
TAS3B-5'D6[+]	AT5G07530.2	635	5.5	809.66899999999998272	5.51533	14.35
TAS3B-5'D6[+]	AT5G19990.1	963	4.5	0.960857999999999989882	0.52655	1.37
TAS3B-5'D6[+]	AT5G61570.2	1010	4.5	0.357439000000000006718	0.149894	0.39
TAS3B-5'D7[+]	AT1G08510.1	1537	4.5	1.44513000000000002565	0.530394	1.38
TAS3B-5'D7[+]	AT1G13020.1	1893	5	0.422777999999999987146	0.36897	0.96
TAS3B-5'D7[+]	AT1G54060.1	1148	5.5	0.430464999999999986535	0.165268	0.43
TAS3B-5'D7[+]	AT1G56280.2	853	5.5	1.87175000000000002487	0.480429	1.25
TAS3B-5'D7[+]	AT2G01250.2	156	5.5	3.2899799999999999045	0.319005	0.83
TAS3B-5'D7[+]	AT2G28910.1	809	6	1.61809000000000002828	0.357439	0.93
TAS3B-5'D7[+]	AT2G30570.1	263	6	54.2961999999999989086	0.711035	1.85
TAS3B-5'D7[+]	AT2G30630.2	1290	6	0	0.226763	0.59
TAS3B-5'D7[+]	AT2G37340.3	860	6	0.691818000000000044025	0.457369	1.19
TAS3B-5'D7[+]	AT3G54050.2	1280	5.5	6.00729000000000024073	0.326692	0.85
TAS3B-5'D7[+]	AT5G13420.1	1329	5.5	1.99859000000000008868	0.172955	0.45
TAS3B-5'D7[+]	AT5G52650.1	528	6	24.7362999999999999545	1.30292	3.39
TAS3B-5'D7[-]	AT1G02500.2	1326	6	4.74279999999999990479	0.280571	0.73
TAS3B-5'D7[-]	AT1G24260.3	1038	5	3.08243000000000000327	0.26904	0.7
TAS3B-5'D8[+]	AT2G16770.1	694	5	0.522707000000000032713	0.357439	0.93
TAS3B-5'D8[+]	AT3G04920.1	253	6	2.48669999999999991047	0.511177	1.33
TAS3B-5'D8[+]	ATCG00380.1	235	6	14.7895000000000003126	0.860929	2.24
TAS3B-5'D8[-]	AT5G57735.1	334	5	0.799433999999999977959	0.326692	0.85
TAS3B-5'D9[+]	AT1G15270.1	207	6	11.6072000000000006281	4.51219	11.74
TAS3B-5'D9[+]	AT2G22795.1	1697	5.5	4.18933999999999961972	0.14605	0.38
TAS3B-5'D9[+]	AT2G31360.1	1005	6	2.10236000000000000654	0.707192	1.84
TAS3B-5'D9[+]	AT3G55520.1	766	6	0.603419000000000038675	0.165268	0.43
TAS3B-5'D9[+]	AT4G02530.1	298	6	2.11005000000000020322	1.74876	4.55
TAS3B-5'D9[+]	AT4G16155.1	1564	6	1.36826000000000003176	0.25751	0.67
TAS3B-5'D9[+]	AT5G04600.1	623	5.5	1.77950999999999992518	1.50663	3.92
TAS3B-5'D9[+]	AT5G12840.4	960	5	0.887832999999999983309	0.192172	0.5
TAS3B-5'D9[+]	AT5G53880.1	241	6	4.37382999999999988461	0.403561	1.05
TAS3B-5'D9[+]	AT5G60120.2	1693	3	0.611106000000000038064	0.322848	0.84
TAS3B-5'D9[+]	AT5G64170.2	1869	5	0.503489999999999993108	0.468899	1.22
TAS3B-5'D9[+]	AT5G65220.1	450	6	6.7067899999999998073	0.561141	1.46
TAS3B-5'D9[+]	ATCG00830.1	771	4.5	16.0925000000000011369	2.24072	5.83
TAS3B-5'D9[-]	AT2G40205.1	105	4	4.06634999999999990905	1.6373	4.26
TAS3B-5'D9[-]	AT4G11260.1	1239	6	1.44513000000000002565	0.196015	0.51
TAS3B-5'D9[-]	AT4G20300.2	1630	3.5	0.664914000000000005031	0.230606	0.6
TAS3C-5'D10[+]	AT1G80000.2	357	5.5	0.338222000000000022624	0.00768687	0.02
TAS3C-5'D10[+]	AT2G01850.1	917	6	0.645696999999999965425	0.553454	1.44
TAS3C-5'D10[+]	AT2G25930.1	2440	5	1.37210999999999994081	13.0715	34.01
TAS3C-5'D10[+]	AT3G21865.1	489	6	0.342065999999999981185	0.388187	1.01
TAS3C-5'D10[+]	AT3G56150.2	271	6	1.24527000000000009905	0.338222	0.88
TAS3C-5'D10[+]	AT4G24680.1	2137	5	0.172954999999999997629	0.472742	1.23
TAS3C-5'D10[-]	AT2G18020.1	425	6	3.40527999999999986258	1.12228	2.92
TAS3C-5'D10[-]	AT2G34660.2	4840	4	0.907050000000000022915	0.211389	0.55
TAS3C-5'D10[-]	AT3G09810.1	948	5	0.311317999999999983629	0.518864	1.35
TAS3C-5'D1[+]	AT1G31330.1	358	5	13.7902000000000004576	0.215232	0.56
TAS3C-5'D1[+]	AT3G12110.1	804	6	0.718721999999999971998	0.549611	1.43
TAS3C-5'D1[+]	AT4G34480.1	1447	6	0.810965000000000046931	0.295944	0.77
TAS3C-5'D1[-]	AT4G36810.1	1012	5	1.56427999999999989278	0.384343	1.0
TAS3C-5'D2[+]	AT2G35650.1	1545	4.5	0.338222000000000022624	0.576515	1.5
TAS3C-5'D2[+]	AT3G28830.1	487	5.5	3.05168999999999979167	0.62648	1.63
TAS3C-5'D2[+]	AT4G27830.1	746	5.5	1.01851000000000002643	0.372813	0.97
TAS3C-5'D2[+]	AT5G08200.1	1681	5	0.522707000000000032713	0.411247	1.07
TAS3C-5'D2[+]	AT5G56190.2	1347	5.5	1.07616000000000000547	0.591889	1.54
TAS3C-5'D2[-]	AT1G53910.3	1460	4.5	2.37139999999999995239	0.453525	1.18
TAS3C-5'D2[-]	AT1G64330.1	1889	4.5	0.430464999999999986535	0.319005	0.83
TAS3C-5'D2[-]	AT3G22968.1	1782	5	1.25296000000000007368	0.295944	0.77
TAS3C-5'D2[-]	AT3G22970.2	1780	5	1.25296000000000007368	0.295944	0.77
TAS3C-5'D2[-]	AT3G24420.1	1011	5	1.2106799999999999784	0.172955	0.45
TAS3C-5'D3[+]	AT1G12850.1	80	5.5	0.845554999999999945537	0.280571	0.73
TAS3C-5'D3[+]	AT1G13690.1	550	5.5	1.39131999999999989015	0.24598	0.64
TAS3C-5'D3[+]	AT1G66760.2	218	6	0	0.176798	0.46
TAS3C-5'D3[+]	AT1G73480.1	1878	5	0.315161999999999997701	0.334379	0.87
TAS3C-5'D3[+]	AT2G24360.1	1643	6	0.94548500000000001986	0.553454	1.44
TAS3C-5'D3[+]	AT2G37420.1	1379	6	0	0.26904	0.7
TAS3C-5'D3[+]	AT2G39470.3	749	5.5	2.75573999999999985633	0.149894	0.39
TAS3C-5'D3[+]	AT3G05020.1	258	5.5	8.38252999999999914849	0.807121	2.1
TAS3C-5'D3[+]	AT3G20240.1	174	6	0.403561000000000003052	0.184485	0.48
TAS3C-5'D3[+]	AT3G24080.2	1027	6	1.4643500000000000405	0.691818	1.8
TAS3C-5'D3[+]	AT3G24140.1	681	6	0.845554999999999945537	0.914737	2.38
TAS3C-5'D3[+]	AT3G46430.1	86	6	2.02932999999999985619	0.434308	1.13
TAS3C-5'D3[+]	AT3G54390.1	909	6	0.253666999999999975834	0.149894	0.39
TAS3C-5'D3[+]	AT3G56850.1	1308	6	0.530394000000000032102	0.311318	0.81
TAS3C-5'D3[+]	AT4G04614.1	403	6	0.960857999999999989882	0.365126	0.95
TAS3C-5'D3[+]	AT4G22220.1	643	5.5	2.25993999999999983785	0.319005	0.83
TAS3C-5'D3[+]	AT4G24050.1	1307	6	1.37595000000000000639	0.684131	1.78
TAS3C-5'D3[+]	AT4G33150.3	1710	6	9.38181999999999938211	0.334379	0.87
TAS3C-5'D3[+]	AT4G39040.2	432	5.5	0.607262999999999997236	0.365126	0.95
TAS3C-5'D3[+]	AT5G07530.2	165	5.5	1.19914999999999993818	0.457369	1.19
TAS3C-5'D3[+]	AT5G22580.1	170	6	6.44927999999999990166	1.11075	2.89
TAS3C-5'D3[+]	AT5G23200.1	1319	5	4.18165999999999993264	0.349752	0.91
TAS3C-5'D3[+]	AT5G50790.1	984	6	1.36441999999999996618	0.234449	0.61
TAS3C-5'D3[+]	AT5G56950.1	1132	6	1.92172000000000009479	0.39203	1.02
TAS3C-5'D3[+]	AT5G60670.1	305	6	2.21765999999999996461	1.4951	3.89
TAS3C-5'D3[+]	AT5G63420.1	2606	6	0	0.39203	1.02
TAS3C-5'D4[+]	AT1G54570.1	1791	5	0.653383999999999964814	0.572672	1.49
TAS3C-5'D4[+]	AT1G74030.1	760	5	0.484273000000000009013	0.51502	1.34
TAS3C-5'D4[+]	AT3G21200.1	1019	5.5	0.960857999999999989882	1.09154	2.84
TAS3C-5'D4[-]	AT1G12140.2	1441	5.5	1.09153999999999995474	0.203702	0.53
TAS3C-5'D4[-]	AT2G25210.1	298	4	4.95033999999999974051	2.06008	5.36
TAS3C-5'D4[-]	AT3G09740.1	938	4.5	1.72185999999999994614	1.47204	3.83
TAS3C-5'D4[-]	AT4G31340.2	1692	2	5.19632000000000005002	0.215232	0.56
TAS3C-5'D4[-]	AT4G38520.2	2116	5.5	0.94548500000000001986	0.441995	1.15
TAS3C-5'D4[-]	AT5G33370.2	1300	3.5	26.4696999999999995623	15.3968	40.06
TAS3C-5'D4[-]	AT5G46840.2	1566	6	0.484273000000000009013	0.180641	0.47
TAS3C-5'D5[+]	AT2G33860.1	1685	1.5	0.238293000000000004812	0.384343	1.0
TAS3C-5'D6[+]	AT2G44730.1	1200	5.5	0.434308000000000027363	0.403561	1.05
TAS3C-5'D6[+]	AT3G13060.2	2182	5.5	0.953172000000000019249	0.730252	1.9
TAS3C-5'D7[-]	AT5G10860.1	800	5.5	1.57964999999999999858	1.2568	3.27
TAS3C-5'D7[-]	AT5G57735.1	289	0	0.353596000000000021402	0.799434	2.08
TAS3C-5'D8[+]	AT3G03050.1	4078	4.5	2.07161000000000017351	0.734096	1.91
TAS3C-5'D8[-]	AT3G06760.2	858	6	0.584201999999999999069	0.761	1.98
TAS3C-5'D8[-]	AT5G47970.2	1557	6	0.288258000000000014218	0.461212	1.2
TAS3C-5'D9[+]	AT1G01630.1	856	5.5	2.25609999999999999432	1.56428	4.07
TAS3C-5'D9[+]	AT1G14460.1	160	4.5	0.734095999999999970775	0.00384343	0.01
TAS3C-5'D9[+]	AT1G23190.1	1230	5	1.16456000000000003958	0.39203	1.02
TAS3C-5'D9[+]	AT1G74160.1	524	6	0.730252000000000012214	0.119146	0.31
TAS3C-5'D9[+]	AT3G18390.1	2852	6	0.837868999999999974904	0.219076	0.57
TAS3C-5'D9[+]	AT4G28310.1	560	6	0.561141000000000000902	0.388187	1.01
TAS3C-5'D9[+]	AT5G02800.1	1335	5.5	0.449682000000000026141	0.288258	0.75
TAS3C-5'D9[+]	AT5G56970.1	1517	5.5	0.94548500000000001986	0.834025	2.17
TAS3C-5'D9[-]	AT4G40030.3	826	5	5.16558000000000028251	0.822495	2.14
TAS3C-5'D9[-]	AT5G20270.1	1359	6	0.857086000000000014509	0.149894	0.39
TAS4-3'D10[-]	AT2G39770.2	1243	6	2.22149999999999980815	0.180641	0.47
TAS4-3'D2[+]	AT2G20890.1	206	6	0.830181999999999975515	0.607263	1.58
TAS4-3'D2[+]	AT2G28790.1	381	6	1.17609000000000007979	0.476586	1.24
TAS4-3'D2[-]	AT1G32130.2	278	5	0.695662000000000002586	0.299788	0.78
TAS4-3'D2[-]	AT1G50920.1	1957	5	1.34136000000000010779	0.14605	0.38
TAS4-3'D2[-]	AT1G71300.1	1919	5.5	0	0.165268	0.43
TAS4-3'D2[-]	AT2G03680.2	310	5.5	1.44897000000000009123	1.7257	4.49
TAS4-3'D2[-]	AT2G21660.2	542	5.5	28.03399999999999892	6.97968	18.16
TAS4-3'D4[+]	AT1G10670.4	690	5.5	1.18761999999999989797	1.73339	4.51
TAS4-3'D4[+]	AT1G27752.2	2675	4.5	2.50975999999999999091	0.207545	0.54
TAS4-3'D4[+]	AT1G28340.1	559	5	0.507333000000000033936	0.361283	0.94
TAS4-3'D4[+]	AT1G73760.1	1036	6	0.899364000000000052282	0.530394	1.38
TAS4-3'D4[+]	AT1G75950.1	215	6	1.10306999999999999496	0.933954	2.43
TAS4-3'D4[-]	AT3G47470.1	291	5.5	3.25538999999999978385	0.461212	1.2
TAS4-3'D4[-]	AT4G14690.1	265	5.5	3.32457000000000002515	0.395874	1.03
TAS4-3'D5[+]	AT5G61530.3	1370	5	1.23758999999999996788	0.564985	1.47
TAS4-3'D6[+]	AT5G01410.1	694	6	5.61526000000000014012	0.549611	1.43
TAS4-3'D7[+]	AT1G12090.1	784	5.5	21.4233000000000011198	1.04541	2.72
TAS4-3'D7[+]	AT1G17950.1	892	5	0	0.12299	0.32
TAS4-3'D7[+]	AT2G38080.1	1937	4	1.12996999999999991893	0.176798	0.46
TAS4-3'D7[+]	AT3G25290.2	1246	4	1.78334999999999999076	0.238293	0.62
TAS4-3'D7[-]	AT1G11910.1	1668	5	2.98249999999999992895	0.438151	1.14
TAS4-3'D8[-]	AT2G19540.1	609	5.5	1.10306999999999999496	0.322848	0.84
TAS4-3'D8[-]	AT5G04870.1	2263	6	0.526549999999999962519	0.199859	0.52
TAS4-3'D9[+]	AT1G07750.1	870	6	2.02932999999999985619	0.422778	1.1
TAS4-3'D9[+]	AT1G65295.1	215	4.5	1.24527000000000009905	0.330535	0.86
TAS4-3'D9[+]	AT2G07675.1	34	6	0.634167000000000036231	0.24598	0.64
TAS4-3'D9[+]	AT2G07773.1	34	6	0.0922424000000000021693	0.0153737	0.04
TAS4-3'D9[+]	AT2G16640.1	2591	5	0.834025000000000016342	0.00768687	0.02
TAS4-3'D9[+]	AT3G10570.1	1554	6	8.53627000000000002444	0.36897	0.96
TAS4-3'D9[+]	AT3G16180.1	1888	5	1.69110999999999989107	0.564985	1.47
TAS4-3'D9[+]	AT3G50670.2	1708	6	0.722566000000000041581	0.468899	1.22
TAS4-3'D9[+]	ATMG00910.1	34	6	0.0922424000000000021693	0.00768687	0.02
TAS4-3'D9[+]	ATMG00980.1	34	6	0.0922424000000000021693	0.0192172	0.05
miR156a-5p	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156a-5p	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156a-5p	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156a-5p	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156b-3p	AT2G45980.1	783	5	0.691818000000000044025	0.326692	0.85
miR156b-3p	AT3G06540.1	1929	5	0.561141000000000000902	0.553454	1.44
miR156b-5p	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156b-5p	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156b-5p	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156b-5p	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156c-5p	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
