target.transcript	sRNA	slice.site	Allen.score	slice.site.rpm	fold.change	verified.	common.name	interaction	adj.p.val
AT2G07773.1	TAS4-3'D9[+]	34	6	0.0153737	0.929623039720853	no	NA	TAS4-3'D9[+]:AT2G07773.1	0.999940785974165
AT2G16640.1	TAS4-3'D9[+]	2591	5	0.00768687	0.549440094873298	no	ATTOC132	TAS4-3'D9[+]:ATTOC132	0.999940785974165
AT2G16770.1	TAS3B-5'D8[+]	694	5	0.357439	0.891464346062637	no	bZIP23	TAS3B-5'D8[+]:bZIP23	0.999940785974165
AT2G18020.1	TAS3C-5'D10[-]	425	6	1.12228	0.481758253731885	no	EMB2296	TAS3C-5'D10[-]:EMB2296	0.999940785974165
AT2G19540.1	TAS4-3'D8[-]	609	5.5	0.322848	0.629008069156043	no	NA	TAS4-3'D8[-]:AT2G19540.1	0.999940785974165
AT2G19760.1	TAS2-3'D3[-]	645	4	0.13452	0.472911742760555	no	PFN1	TAS2-3'D3[-]:PFN1	0.999940785974165
AT2G20370.1	TAS3A-5'D10[+]	2219	6	0.288258	0.705377646415943	no	AtMUR3	TAS3A-5'D10[+]:AtMUR3	0.999940785974165
AT2G20580.1	TAS1C-3'D8[+]	861	6	0.234449	0.996895726617206	no	ATRPN1A	TAS1C-3'D8[+]:ATRPN1A	0.999940785974165
AT2G20890.1	TAS4-3'D2[+]	206	6	0.607263	0.878198452394352	no	PSB29	TAS4-3'D2[+]:PSB29	0.999940785974165
AT2G21660.2	TAS4-3'D2[-]	542	5.5	6.97968	0.274839154095199	no	ATGRP7	TAS4-3'D2[-]:ATGRP7	0.999940785974165
AT2G22795.1	TAS3B-5'D9[+]	1697	5.5	0.14605	0.220846967051687	no	NA	TAS3B-5'D9[+]:AT2G22795.1	0.999940785974165
AT2G24360.1	TAS3C-5'D3[+]	1643	6	0.553454	0.798491892767099	no	NA	TAS3C-5'D3[+]:AT2G24360.1	0.999940785974165
AT2G25210.1	TAS3C-5'D4[-]	298	4	2.06008	0.514269772819704	no	NA	TAS3C-5'D4[-]:AT2G25210.1	0.999940785974165
AT2G26800.3	TAS2-3'D4[+]	1037	6	0.349752	0.712074786865873	no	NA	TAS2-3'D4[+]:AT2G26800.3	0.999940785974165
AT2G28790.1	TAS4-3'D2[+]	381	6	0.476586	0.678550059969946	no	NA	TAS4-3'D2[+]:AT2G28790.1	0.999940785974165
AT2G28910.1	TAS3B-5'D7[+]	809	6	0.357439	0.518484467684457	no	CXIP4	TAS3B-5'D7[+]:CXIP4	0.999940785974165
AT2G30520.3	TAS1A-3'D10[-]	1670	5.5	0.119146	0.421282730790658	no	RPT2	TAS1A-3'D10[-]:RPT2	0.999940785974165
AT2G30570.1	TAS3B-5'D7[+]	263	6	0.711035	0.0309430846965976	no	PSBW	TAS3B-5'D7[+]:PSBW	0.999940785974165
AT2G30630.2	TAS3B-5'D7[+]	1290	6	0.226763	1.226763	no	NA	TAS3B-5'D7[+]:AT2G30630.2	0.999940785974165
AT2G31360.1	TAS3B-5'D9[+]	1005	6	0.707192	0.55028816771748	no	ADS2	TAS3B-5'D9[+]:ADS2	0.999940785974165
AT2G34660.2	TAS3C-5'D10[-]	4840	4	0.211389	0.635216171573897	no	ABCC2	TAS3C-5'D10[-]:ABCC2	0.999940785974165
AT2G35650.1	TAS3C-5'D2[+]	1545	4.5	0.576515	1.1780668678291	no	ATCSLA07	TAS3C-5'D2[+]:ATCSLA07	0.999940785974165
AT2G36160.1	TAS1B-3'D4[-]	536	5.5	1.4067	0.400071147401457	no	NA	TAS1B-3'D4[-]:AT2G36160.1	0.999940785974165
AT2G37340.3	TAS3B-5'D7[+]	860	6	0.457369	0.861421855069517	no	AT-RS2Z33	TAS3B-5'D7[+]:AT-RS2Z33	0.999940785974165
AT2G37420.1	TAS3C-5'D3[+]	1379	6	0.26904	1.26904	no	NA	TAS3C-5'D3[+]:AT2G37420.1	0.999940785974165
AT2G38080.1	TAS4-3'D7[+]	1937	4	0.176798	0.552495105564867	no	ATLMCO4	TAS4-3'D7[+]:ATLMCO4	0.999940785974165
AT2G39470.3	TAS3C-5'D3[+]	749	5.5	0.149894	0.306169756159905	no	PnsL1	TAS3C-5'D3[+]:PnsL1	0.999940785974165
AT2G39770.2	TAS4-3'D10[-]	1243	6	0.180641	0.366487971441875	no	CYT1	TAS4-3'D10[-]:CYT1	0.999940785974165
AT2G40205.1	TAS3B-5'D9[-]	105	4	1.6373	0.520552271359065	no	NA	TAS3B-5'D9[-]:AT2G40205.1	0.999940785974165
AT2G42600.2	TAS2-3'D9[+]	2642	6	0.561141	0.694111919328449	no	ATPPC2	TAS2-3'D9[+]:ATPPC2	0.999940785974165
AT2G43235.1	TAS3B-5'D6[+]	1188	5.5	0.172955	0.786183945950294	no	NA	TAS3B-5'D6[+]:AT2G43235.1	0.999940785974165
AT2G44730.1	TAS3C-5'D6[+]	1200	5.5	0.403561	0.978563181687615	no	NA	TAS3C-5'D6[+]:AT2G44730.1	0.999940785974165
AT2G46000.1	TAS3B-5'D6[+]	717	5	0.511177	0.755855694988178	no	NA	TAS3B-5'D6[+]:AT2G46000.1	0.999940785974165
AT3G02080.1	TAS1C-3'D7[-]	447	5	1.58734	0.355959299126109	no	NA	TAS1C-3'D7[-]:AT3G02080.1	0.999940785974165
AT3G02230.1	TAS3A-5'D4[-]	1223	3.5	1.07232	0.207523570616716	no	ATRGP1	TAS3A-5'D4[-]:ATRGP1	0.999940785974165
AT3G03050.1	TAS3C-5'D8[+]	4078	4.5	0.734096	0.564556047154424	no	ATCSLD3	TAS3C-5'D8[+]:ATCSLD3	0.999940785974165
AT3G04920.1	TAS3A-5'D8[+]	255	5	0.599576	0.458765021366908	no	NA	TAS3A-5'D8[+]:AT3G04920.1	0.999940785974165
AT3G05020.1	TAS3C-5'D3[+]	258	5.5	0.807121	0.19260487309926	no	ACP	TAS3C-5'D3[+]:ACP	0.999940785974165
AT3G05932.1	TAS3A-5'D6[+]	932	5	0.422778	1.422778	no	NA	TAS3A-5'D6[+]:AT3G05932.1	0.999940785974165
AT3G06760.2	TAS3C-5'D8[-]	858	6	0.761	1.11160066708665	no	NA	TAS3C-5'D8[-]:AT3G06760.2	0.999940785974165
AT3G09740.1	TAS3C-5'D4[-]	938	4.5	1.47204	0.908217175020023	no	ATSYP71	TAS3C-5'D4[-]:ATSYP71	0.999940785974165
AT3G09810.1	TAS3C-5'D10[-]	948	5	0.518864	1.15827282169542	no	IDH-VI	TAS3C-5'D10[-]:IDH-VI	0.999940785974165
AT3G09860.1	TAS3A-5'D4[-]	455	4	1.03388	0.592468736254293	no	NA	TAS3A-5'D4[-]:AT3G09860.1	0.999940785974165
AT3G10570.1	TAS4-3'D9[+]	1554	6	0.36897	0.143554031083432	no	CYP77A6	TAS4-3'D9[+]:CYP77A6	0.999940785974165
AT3G12110.1	TAS3C-5'D1[+]	804	6	0.549611	0.901606542535675	no	ACT11	TAS3C-5'D1[+]:ACT11	0.999940785974165
AT3G12260.1	TAS3A-5'D4[-]	259	6	0.292101	0.272173107101857	no	NA	TAS3A-5'D4[-]:AT3G12260.1	0.999940785974165
AT3G13060.2	TAS3C-5'D6[+]	2182	5.5	0.730252	0.885867706479511	no	ECT5	TAS3C-5'D6[+]:ECT5	0.999940785974165
AT3G13080.4	TAS3B-5'D4[+]	4460	5.5	0.192172	0.80112840665647	no	ABCC3	TAS3B-5'D4[+]:ABCC3	0.999940785974165
AT3G16180.1	TAS4-3'D9[+]	1888	5	0.564985	0.581538844565997	no	NA	TAS4-3'D9[+]:AT3G16180.1	0.999940785974165
AT3G16840.1	TAS3A-5'D6[+]	1079	5.5	0.407404	0.991874181603937	no	NA	TAS3A-5'D6[+]:AT3G16840.1	0.999940785974165
AT3G17998.1	TAS3A-5'D1[+]	1550	6	0.322848	0.482601018576619	no	CPuORF30	TAS3A-5'D1[+]:CPuORF30	0.999940785974165
AT3G18000.1	TAS3A-5'D1[+]	1550	6	0.322848	0.482601018576619	no	NMT1	TAS3A-5'D1[+]:NMT1	0.999940785974165
AT3G18390.1	TAS3C-5'D9[+]	2852	6	0.219076	0.663309517707736	no	EMB1865	TAS3C-5'D9[+]:EMB1865	0.999940785974165
AT3G20240.1	TAS3C-5'D3[+]	174	6	0.184485	0.843914158344383	no	NA	TAS3C-5'D3[+]:AT3G20240.1	0.999940785974165
AT3G21200.1	TAS3C-5'D4[+]	1019	5.5	1.09154	1.06664531546904	no	GluTRBP	TAS3C-5'D4[+]:GluTRBP	0.999940785974165
AT3G21865.1	TAS3C-5'D10[+]	489	6	0.388187	1.03436567203103	no	PEX22	TAS3C-5'D10[+]:PEX22	0.999940785974165
AT3G22968.1	TAS3C-5'D2[-]	1782	5	0.295944	0.575218379376465	no	CPuORF59	TAS3C-5'D2[-]:CPuORF59	0.999940785974165
AT3G22970.2	TAS3C-5'D2[-]	1780	5	0.295944	0.575218379376465	no	NA	TAS3C-5'D2[-]:AT3G22970.2	0.999940785974165
AT3G23400.1	TAS3A-5'D8[+]	729	5.5	0.511177	0.399097052943491	no	FIB4	TAS3A-5'D8[+]:FIB4	0.999940785974165
AT3G24080.2	TAS3C-5'D3[+]	1027	6	0.691818	0.686516931442368	no	NA	TAS3C-5'D3[+]:AT3G24080.2	0.999940785974165
AT3G24140.1	TAS3C-5'D3[+]	681	6	0.914737	1.03748574277114	no	FMA	TAS3C-5'D3[+]:FMA	0.999940785974165
AT3G24420.1	TAS3C-5'D2[-]	1011	5	0.172955	0.530585611666998	no	NA	TAS3C-5'D2[-]:AT3G24420.1	0.999940785974165
AT3G24490.1	TAS3A-5'D4[-]	117	2.5	0.0230606	0.359133707072374	no	NA	TAS3A-5'D4[-]:AT3G24490.1	0.999940785974165
AT3G25290.2	TAS4-3'D7[+]	1246	4	0.238293	0.444893024592667	no	NA	TAS4-3'D7[+]:AT3G25290.2	0.999940785974165
AT3G26030.1	TAS3A-5'D2[+]	1451	4.5	0.169111	0.762014604001859	no	ATB' DELTA	TAS3A-5'D2[+]:ATB' DELTA	0.999940785974165
AT3G26110.1	TAS1B-3'D10[-]	528	5.5	0.726409	1.22666199612904	no	NA	TAS1B-3'D10[-]:AT3G26110.1	0.999940785974165
AT3G28830.1	TAS3C-5'D2[+]	487	5.5	0.62648	0.401432488665224	no	NA	TAS3C-5'D2[+]:AT3G28830.1	0.999940785974165
AT3G29040.1	TAS3A-5'D1[+]	578	6	0.465055	1.13049252128178	no	NA	TAS3A-5'D1[+]:AT3G29040.1	0.999940785974165
AT3G46430.1	TAS3C-5'D3[+]	86	6	0.434308	0.473473672396206	no	NA	TAS3C-5'D3[+]:AT3G46430.1	0.999940785974165
AT3G47470.1	TAS4-3'D4[-]	291	5.5	0.461212	0.343379102737939	no	CAB4	TAS4-3'D4[-]:CAB4	0.999940785974165
AT3G49430.3	TAS1C-3'D7[-]	247	5.5	0.272884	1.12961193007305	no	At-SR34a	TAS1C-3'D7[-]:At-SR34a	0.999940785974165
AT3G50670.2	TAS4-3'D9[+]	1708	6	0.468899	0.852738879090845	no	U1-70K	TAS4-3'D9[+]:U1-70K	0.999940785974165
AT3G51550.1	TAS2-3'D3[-]	2979	6	0.26904	0.408550640654176	no	FER	TAS2-3'D3[-]:FER	0.999940785974165
AT3G52100.1	TAS3A-5'D7[+]	1072	6	0.222919	0.87369018165815	no	NA	TAS3A-5'D7[+]:AT3G52100.1	0.999940785974165
AT3G52300.2	TAS3B-5'D5[+]	377	6	0.295944	0.228415720474759	no	ATPQ	TAS3B-5'D5[+]:ATPQ	0.999940785974165
AT3G54050.2	TAS3B-5'D7[+]	1280	5.5	0.326692	0.189330254634816	no	HCEF1	TAS3B-5'D7[+]:HCEF1	0.999940785974165
AT3G54390.1	TAS3C-5'D3[+]	909	6	0.149894	0.917224430410946	no	NA	TAS3C-5'D3[+]:AT3G54390.1	0.999940785974165
AT3G55520.1	TAS3B-5'D9[+]	766	6	0.165268	0.726739548427454	no	NA	TAS3B-5'D9[+]:AT3G55520.1	0.999940785974165
AT3G56150.2	TAS3C-5'D10[+]	271	6	0.338222	0.596018296240541	no	ATEIF3C-1	TAS3C-5'D10[+]:ATEIF3C-1	0.999940785974165
AT3G56850.1	TAS3C-5'D3[+]	1308	6	0.311318	0.856849935376119	no	AREB3	TAS3C-5'D3[+]:AREB3	0.999940785974165
AT3G62840.2	TAS3A-5'D1[+]	162	6	0.303631	0.352881099005211	no	NA	TAS3A-5'D1[+]:AT3G62840.2	0.999940785974165
AT4G01000.1	TAS1B-3'D4[-]	509	5.5	0.584202	1.02232237638995	no	NA	TAS1B-3'D4[-]:AT4G01000.1	0.999940785974165
AT4G02530.1	TAS3B-5'D9[+]	298	6	1.74876	0.88383144965515	no	NA	TAS3B-5'D9[+]:AT4G02530.1	0.999940785974165
AT4G04614.1	TAS3C-5'D3[+]	403	6	0.365126	0.696188097251305	no	NA	TAS3C-5'D3[+]:AT4G04614.1	0.999940785974165
AT4G11260.1	TAS3B-5'D9[-]	1239	6	0.196015	0.48914168162838	no	ATSGT1B	TAS3B-5'D9[-]:ATSGT1B	0.999940785974165
AT4G13670.1	TAS1B-3'D4[-]	511	6	0.161424	0.0747945029043933	no	PTAC5	TAS1B-3'D4[-]:PTAC5	0.999940785974165
AT4G14690.1	TAS4-3'D4[-]	265	5.5	0.395874	0.322777524701878	no	ELIP2	TAS4-3'D4[-]:ELIP2	0.999940785974165
AT4G16155.1	TAS3B-5'D9[+]	1564	6	0.25751	0.530984773631273	no	NA	TAS3B-5'D9[+]:AT4G16155.1	0.999940785974165
AT4G20300.2	TAS3B-5'D9[-]	1630	3.5	0.230606	0.739140880549986	no	NA	TAS3B-5'D9[-]:AT4G20300.2	0.999940785974165
AT4G22220.1	TAS3C-5'D3[+]	643	5.5	0.319005	0.404610207549832	no	ATISU1	TAS3C-5'D3[+]:ATISU1	0.999940785974165
AT4G24050.1	TAS3C-5'D3[+]	1307	6	0.684131	0.708824259769776	no	NA	TAS3C-5'D3[+]:AT4G24050.1	0.999940785974165
AT4G24680.1	TAS3C-5'D10[+]	2137	5	0.472742	1.2555826949883	no	MOS1	TAS3C-5'D10[+]:MOS1	0.999940785974165
AT4G25370.1	TAS3B-5'D10[+]	775	5	0.388187	0.377734875633668	no	NA	TAS3B-5'D10[+]:AT4G25370.1	0.999940785974165
AT4G26670.1	TAS3A-5'D7[-]	852	5	0.776374	0.918519261574991	no	NA	TAS3A-5'D7[-]:AT4G26670.1	0.999940785974165
AT4G27760.1	TAS1C-3'D7[-]	722	4	0.330535	0.670659941257682	no	FEY	TAS1C-3'D7[-]:FEY	0.999940785974165
AT4G27830.1	TAS3C-5'D2[+]	746	5.5	0.372813	0.680112062858247	no	BGLU10	TAS3C-5'D2[+]:BGLU10	0.999940785974165
